Name,"NCBI GI","Uniprot Accession"
500001,46395971,Q9D1A0
500002,123794462,Q3UEX4
500003,81876440,Q8C454
500004,172046657,P70274
500005,81892250,Q6P6J9
500006,50401676,Q9CQ79
500007,123794016,Q3U125
500008,172045967,Q61153
500009,81912006,Q7TN22
500010,81869442,Q9QXV5
500011,123794028,Q3U194
500012,81875183,Q8BTV1
500013,172045834,Q91ZI8
500014,172045558,Q9Z1Y9
500015,81878270,Q8JZU5
500016,123294229,A2ADH1
500017,81894246,Q78XF5
500018,1346600,P47802
500019,115311850,Q3TMX7
500020,81887369,Q50H32
500021,123791799,Q3USC7
500022,123239452,A2A5H8
500023,123784761,Q3UKU2
500024,123792784,Q14AV9
500025,172045882,Q9DAN1
500026,81881783,Q9DC23
500027,77417718,Q8R3W7
500028,68566186,Q715T0
500029,62287157,Q921X9
500030,123785952,Q0P5W2
500031,66774172,Q8BXZ1
500032,81874410,Q8BND5
500033,81908524,P97346
500034,12643967,Q9Z1Q9
500035,81880737,Q9CUG0
500036,123785496,Q3UZN6
500037,157737220,
500038,78184692,
500039,148239609,
500040,33862998,
500042,15598760,
500044,28868172,
500045,188586638,
500046,125972635,
500047,148381320,
500050,24379879,
500051,25011338,
500052,167036999,
500053,55821239,
500054,126640628,
500055,167628097,
500056,56707877,
500057,66044967,
500058,125718249,
500059,157826101,
500061,114562177,
500062,134046232,
500063,134299863,
500064,146296657,
500065,59710659,
500066,78044867,
500068,126175430,
500069,146293919,
500070,150400635,
500071,15612546,
500072,156972892,
500074,30018471,
500077,148380526,
500079,21230882,
500081,42520924,
500082,58581137,
500083,91792382,
500086,163938211,
500087,194366418,
500088,24372794,
500089,29375518,
500090,34499175,
500092,74316506,
500093,78186369,
500094,145219352,
500095,153953930,
500096,15672669,
500097,15901814,
500098,167629052,
500099,189502675,
500100,194337098,
500102,148546059,
500103,224373484,
500104,27379626,
500105,28210748,
500106,28377356,
500107,34558357,
500108,78777281,
500109,15676669,
500110,21674625,
500111,154148198,
500112,159184782,
500113,193215312,
500114,28198076,
500115,73666912,
500116,110638569,
500117,15618696,
500118,17229085,
500119,57239031,
500120,58038506,
500121,148285046,
500122,152979076,
500123,16126065,
500124,16272055,
500125,169830728,
500126,32267213,
500127,39935845,
500128,56416674,
500129,74317558,
500130,83721298,
500131,15602807,
500132,157738118,
500133,166154808,
500134,37521936,
500135,70734349,
500136,32035648,
500137,52424680,
500138,119952991,
500139,203284114,
500140,26989035,
500141,81300330,
500142,91788379,
500143,29840725,
500144,15598062,
500145,194367657,
500146,197118202,
500147,16080014,
500148,197117093,
500149,21229777,
500150,28198780,
500151,15594539,
500152,32471208,
500153,159038428,
500154,52081457,
500155,56707784,
500156,83593035,
500157,88606752,
500158,17545838,
500159,187735486,
500160,50954622,
500161,57236957,
500162,167626904,
500163,113476516,
500164,15615768,
500165,15894377,
500166,19745392,
500167,56421334,
500168,167645514,
500169,33592246,
500170,41406650,
500171,54026879,
500172,183984966,
500173,41408485,
500174,91777179,
500175,159898079,
500176,163839945,
500177,220904705,
500178,53802475,
500179,134300592,
500180,183983984,
500181,222087203,
500182,126444884,
500183,148380559,
500184,59711641,
500185,110680910,
500186,110799839,
500187,111022630,
500188,119963803,
500189,222087599,
500190,33592251,
500191,153954165,
500192,21224878,
500193,23501140,
500194,53803751,
500195,184200489,
500196,118470778,
500197,118470798,
500198,193214679,
500199,41407071,
500200,152965131,
500201,197118692,
500202,34497148,
500203,104782900,
500204,17545859,
500205,194334498,
500206,78186331,
500207,91786905,
500208,148546605,
500209,28869016,
500210,91789727,
500211,193213346,
500212,39996548,
500213,21221672,
500214,22126262,
500215,21233488,
500216,21244902,
500217,91788020,
500218,115526116,
500219,15888748,
500220,159044979,
500221,70728988,
500222,134097406,
500223,15604525,
500224,16129227,
500225,78223182,
500226,118579101,
500227,182437361,
500228,27378950,
500229,27382660,
500230,118473173,
500231,187921776,
500232,222082169,
500233,107025688,
500234,119960700,
500235,161520151,
500236,197294890,
500237,76819553,
500238,13475959,
500239,187920370,
500240,27380755,
500241,54309648,
500242,107029140,
500243,172060266,
500244,161520160,
500245,161524866,
500246,161520159,
500247,118472388,
500248,91790158,
500249,170751218,
500250,39937758,
500251,91789664,
500253,152979243,
500254,187926118,
500256,15609440,
500258,119715509,
500259,194289753,
500260,29830742,
500261,77459650,
500262,107027808,
500263,17227916,
500264,22125942,
500266,19551537,
500267,91788704,
500271,116695163,
500272,21222419,
500273,15597407,
500275,188591992,
500276,27377387,
500277,33599260,
500280,14601936,
500283,108797204,
500284,118468184,
500286,222080955,
500287,31791407,
500288,91787937,
500291,118462508,
500292,32034512,
500293,152978452,
500295,111018514,
500298,152972771,
500299,16799936,
500300,226313971,
500301,21218809,
500302,118470220,
500303,145221713,
500304,226309614,
500305,41406275,
500306,118468582,
500307,222150594,
500309,93006777,
500311,42780607,
500312,119962368,
500314,163939326,
500315,170725768,
500316,27378792,
500318,148556426,
500319,197285384,
500320,16762752,
500323,118472969,
500324,33603309,
500325,226308759,
500327,118470521,
500329,27377392,
500330,27383048,
500334,33595954,
500336,34498291,
500344,33595946,
500345,118471567,
500346,41406841,
500347,183984692,
500348,145223904,
500349,76811866,
500350,21219312,
500351,15609016,
500354,41406840,
500355,183984693,
500356,21225248,
500358,118473847,
500364,148554536,
500365,118469381,
500369,183984729,
500370,41406803,
500378,115359645,
500381,118469774,
500383,41406877,
500385,159186279,
500387,27378941,
500388,77459368,
500389,86748794,
500390,41408487,
500391,83310585,
500394,41408455,
500396,152990178,
500397,167034586,
500399,152992630,
500400,222823270,
500402,83589325,
500403,21231130,
500404,118468285,
500405,119960713,
500408,41408283,
500409,57237077,
500410,118469598,
500411,86749205,
500413,154247979,
500416,34557817,
500418,170721343,
500420,58582611,
500421,118472599,
500422,33866172,
500425,29830346,
500426,33239965,
500427,33866296,
500431,41406775,
500434,32267263,
500438,33240827,
500439,41406820,
500444,222086854,
500445,81299379,
500447,91780827,
500448,118472472,
500450,29830037,
500452,50843605,
500453,116333680,
500454,59714152,
500455,21221512,
500457,52080603,
500459,73537963,
500460,222082332,
500461,167625226,
500462,54301743,
500463,27377792,
500464,89053965,
500465,110634885,
500466,148554703,
500467,163851150,
500468,86356008,
500469,119386225,
500470,53719305,
500472,119383427,
500473,16264026,
500477,50083425,
500478,156977565,
500479,116694808,
500481,218550367,
500482,91790639,
500484,182438873,
500485,70734272,
500486,53718273,
500487,91786568,
500489,163845488,
500493,71279716,
500496,118470881,
500497,118470717,
500498,83590149,
500499,111017169,
500501,21219927,
500502,119717447,
500503,72162194,
500505,29833464,
500506,226362622,
500507,111022867,
500508,148558558,
500509,16124911,
500510,118469906,
500511,192288541,
500512,86747261,
500513,119961247,
500514,161523073,
500515,71280280,
500516,119715653,
500518,238025296,
500519,239814315,
500520,90420053,
500521,260460403,
500522,256800240,
500523,529100,
500524,211926992,
500526,262277427,
